,loss,f1_micro,f1_macro,accuracy
0,0.1865341242506996,0.3515297202797203,0.11307662078599538,0.3515297202797203
1,0.12859596124478986,0.4315122377622378,0.18210262796619456,0.43151223776223774
2,0.11010803033474025,0.5467657342657343,0.3121533335830497,0.5467657342657343
3,0.09342172124481701,0.6280594405594406,0.41678654266964854,0.6280594405594405
4,0.08344500865201121,0.6729458041958042,0.4776846604807614,0.6729458041958042
5,0.07397970640087513,0.7175262237762238,0.529273323165993,0.7175262237762238
6,0.06464086706307229,0.7565559440559441,0.5798027053537168,0.7565559440559441
7,0.05736477159686595,0.7920017482517483,0.6313633414220878,0.7920017482517483
8,0.050729141965462875,0.8155157342657343,0.6633514899879784,0.8155157342657343
9,0.04417977116552631,0.8456293706293707,0.7053139581355116,0.8456293706293706
